"country","collection_date","meta_key","geo_name","agesex","dau","mau_lower","mau_upper","pop_dau","pop_mau_lower","pop_mau_upper"
"EG",2023-10-11,991,"Dakahlia Governorate","T_20Plus",600849,612800,720900,6596267.27968969,6596267.27968969,6596267.27968969
"EG",2023-10-11,992,"Red Sea Governorate","T_20Plus",136638,141100,166100,222135.186294069,222135.186294069,222135.186294069
"EG",2023-10-11,993,"Beheira Governorate","T_20Plus",631680,668400,786300,5311928.25956602,5311928.25956602,5311928.25956602
"EG",2023-10-11,994,"Faiyum Governorate","T_20Plus",216256,230500,271200,822935.330792943,822935.330792943,822935.330792943
"EG",2023-10-11,995,"Gharbia Governorate","T_20Plus",511630,522300,614500,1954989.09169693,1954989.09169693,1954989.09169693
"EG",2023-10-11,996,"Alexandria Governorate","T_20Plus",993169,985300,1200000,894106.543322392,894106.543322392,894106.543322392
"EG",2023-10-11,997,"Ismailia Governorate","T_20Plus",217034,224700,264300,793881.748296195,793881.748296195,793881.748296195
"EG",2023-10-11,998,"Giza Governorate","T_20Plus",1759913,1800000,2100000,2086652.80648947,2086652.80648947,2086652.80648947
"EG",2023-10-11,999,"Monufia Governorate","T_20Plus",574868,593400,698200,3209986.92409826,3209986.92409826,3209986.92409826
"EG",2023-10-11,1000,"Minya Governorate","T_20Plus",319182,345800,406800,241382.860093377,241382.860093377,241382.860093377
"EG",2023-10-11,1001,"Cairo Governorate","T_20Plus",2847536,2800000,3300000,3412585.93898879,3412585.93898879,3412585.93898879
"EG",2023-10-11,1002,"Qalyubia Governorate","T_20Plus",985598,1000000,1200000,927206.603909429,927206.603909429,927206.603909429
"EG",2023-10-11,1003,"New Valley Governorate","T_20Plus",24043,26100,30700,4297326.70784714,4297326.70784714,4297326.70784714
"EG",2023-10-11,1004,"Al Sharqia Governorate","T_20Plus",741936,776000,912900,4041644.75762386,4041644.75762386,4041644.75762386
"EG",2023-10-11,1005,"Suez Governorate","T_20Plus",184265,191100,224900,3740829.08108297,3740829.08108297,3740829.08108297
"EG",2023-10-11,1006,"Aswan Governorate","T_20Plus",133887,149800,176300,536563.198644482,536563.198644482,536563.198644482
"EG",2023-10-11,1007,"Asyut Governorate","T_20Plus",272263,299900,352900,3293049.59145518,3293049.59145518,3293049.59145518
"EG",2023-10-11,1008,"Beni Suef Governorate","T_20Plus",229076,247700,291400,3570634.28114962,3570634.28114962,3570634.28114962
"EG",2023-10-11,1009,"Port Said Governorate","T_20Plus",143000,144900,170400,2428907.86924901,2428907.86924901,2428907.86924901
"EG",2023-10-11,1010,"Damietta Governorate","T_20Plus",201632,205900,242300,1753594.4886886,1753594.4886886,1753594.4886886
"EG",2023-10-11,1011,"Kafr el-Sheikh Governorate","T_20Plus",254880,270500,318200,151884.021008957,151884.021008957,151884.021008957
"EG",2023-10-11,1012,"Matrouh Governorate","T_20Plus",118467,122900,144600,66442.6559733474,66442.6559733474,66442.6559733474
"EG",2023-10-11,1013,"Qena Governorate","T_20Plus",224425,246900,290500,260721.661941528,260721.661941528,260721.661941528
