"country","collection_date","meta_key","geo_name","agesex","dau","mau_lower","mau_upper","pop_dau","pop_mau_lower","pop_mau_upper"
"JO",2023-10-10,1875,"Balqa Governorate","T_20Plus",132312,129100,151900,330451,330451,330451
"JO",2023-10-10,1877,"Karak Governorate","T_20Plus",49512,46300,54500,212744,212744,212744
"JO",2023-10-10,1878,"Mafraq Governorate","T_20Plus",67138,65300,76900,369559,369559,369559
"JO",2023-10-10,1879,"Tafilah Governorate","T_20Plus",24258,22800,26800,64731,64731,64731
"JO",2023-10-10,1880,"Zarqa Governorate","T_20Plus",204601,192500,226500,917267,917267,917267
"JO",2023-10-10,1881,"Irbid Governorate","T_20Plus",227238,218600,257200,1189561,1189561,1189561
"JO",2023-10-10,1882,"Amman Governorate","T_20Plus",707179,681800,802100,2693141,2693141,2693141
"JO",2023-10-10,4335,"Ajloun Governorate","T_20Plus",30722,28400,33500,118377,118377,118377
"JO",2023-10-10,4336,"Jerash Governorate","T_20Plus",58624,53600,63100,159321,159321,159321
"JO",2023-10-10,4337,"Madaba Governorate","T_20Plus",40087,39300,46300,127122,127122,127122
"JO",2023-10-10,4338,"Aqaba Governorate","T_20Plus",44131,41900,49200,126454,126454,126454
"JO",2023-10-12,1875,"Balqa Governorate","T_20Plus",134624,130200,153100,333866.52745301,328978.644285197,328834.503990475
"JO",2023-10-12,1877,"Karak Governorate","T_20Plus",49141,46500,54700,209668.599496227,210913.88750899,210814.771632318
"JO",2023-10-12,1878,"Mafraq Governorate","T_20Plus",66426,65200,76700,363074.742596683,364245.413434538,363919.813362967
"JO",2023-10-12,1879,"Tafilah Governorate","T_20Plus",24327,23900,28100,64459.7227416864,66980.9440560961,67009.5553052256
"JO",2023-10-12,1880,"Zarqa Governorate","T_20Plus",202145,194700,229100,899898.596542679,915813.162716281,916021.244352969
"JO",2023-10-12,1881,"Irbid Governorate","T_20Plus",228776,218900,257500,1189210.60894146,1175867.03539619,1175833.63767518
"JO",2023-10-12,1882,"Amman Governorate","T_20Plus",721955,698100,821300,2730124.28378074,2722047.04508189,2722609.09995399
"JO",2023-10-12,4335,"Ajloun Governorate","T_20Plus",29467,28200,33200,112744.748272944,116030.988452346,115827.984649651
"JO",2023-10-12,4336,"Jerash Governorate","T_20Plus",57981,54300,63900,156468.107888315,159325.011199517,159293.265824018
"JO",2023-10-12,4337,"Madaba Governorate","T_20Plus",41085,39300,46200,129372.808350571,125486.385790605,125237.559281208
"JO",2023-10-12,4338,"Aqaba Governorate","T_20Plus",42118,41300,48600,119839.25393568,123039.482078348,123326.563971992
"JO",2023-10-13,1875,"Balqa Governorate","T_20Plus",133931,128700,151500,333769.046060859,327111.833807967,327329.27442458
