"ADM2_PCODE","ADM2_EN","collection_date","agesex","mau_lower","pop_mau_lower"
"PS0265","Deir Al-Balah","2023-10-13","F_18Plus",3600,45835.4859596611
"PS0265","Deir Al-Balah","2023-10-13","F_20Plus",3400,42706.2838154998
"PS0265","Deir Al-Balah","2023-10-13","M_18Plus",4900,46182.4565375141
"PS0265","Deir Al-Balah","2023-10-13","M_20Plus",4500,42615.9435141968
"PS0265","Deir Al-Balah","2023-10-13","T_18Plus",8600,92795.9068534365
"PS0265","Deir Al-Balah","2023-10-13","T_20Plus",7900,85236.7204748178
"PS0260","Gaza","2023-10-13","F_18Plus",22000,280105.747531262
"PS0260","Gaza","2023-10-13","F_20Plus",20700,260005.904406131
"PS0260","Gaza","2023-10-13","M_18Plus",30100,283692.233016158
"PS0260","Gaza","2023-10-13","M_20Plus",27800,263271.828821038
"PS0260","Gaza","2023-10-13","T_18Plus",52000,561091.529811476
"PS0260","Gaza","2023-10-13","T_20Plus",48300,521130.835308063
"PS0270","Khan Younis","2023-10-13","F_18Plus",9100,115861.922842477
"PS0270","Khan Younis","2023-10-13","F_20Plus",8500,106765.709538749
"PS0270","Khan Younis","2023-10-13","M_18Plus",12200,114984.89178728
"PS0270","Khan Younis","2023-10-13","M_20Plus",11100,105119.327335019
"PS0270","Khan Younis","2023-10-13","T_18Plus",21500,231989.767133591
"PS0270","Khan Younis","2023-10-13","T_20Plus",19900,214710.219930237
"PS0255","North Gaza","2023-10-13","F_18Plus",5400,68753.2289394917
"PS0255","North Gaza","2023-10-13","F_20Plus",5000,62803.3585522056
"PS0255","North Gaza","2023-10-13","M_18Plus",7700,72572.4317018079
"PS0255","North Gaza","2023-10-13","M_20Plus",7000,66291.4676887506
"PS0255","North Gaza","2023-10-13","T_18Plus",13200,142430.926798298
"PS0255","North Gaza","2023-10-13","T_20Plus",12100,130552.445284215
"PS0275","Rafah","2023-10-13","F_18Plus",6000,76392.4765994352
"PS0275","Rafah","2023-10-13","F_20Plus",5600,70339.7615784702
"PS0275","Rafah","2023-10-13","M_18Plus",8300,78227.4263798709
"PS0275","Rafah","2023-10-13","M_20Plus",7600,71973.5934906435
"PS0275","Rafah","2023-10-13","T_18Plus",14300,154300.170698156
"PS0275","Rafah","2023-10-13","T_20Plus",13000,140262.957743371
"PS0265","Deir Al-Balah","2023-10-14","F_18Plus",3600,46022.4380335594
"PS0265","Deir Al-Balah","2023-10-14","F_20Plus",3300,41825.0512879397
"PS0265","Deir Al-Balah","2023-10-14","M_18Plus",4900,46237.7206643564
"PS0265","Deir Al-Balah","2023-10-14","M_20Plus",4400,41795.5336459939
"PS0265","Deir Al-Balah","2023-10-14","T_18Plus",8400,91106.4533169203
"PS0265","Deir Al-Balah","2023-10-14","T_20Plus",7800,84545.1503526398
"PS0260","Gaza","2023-10-14","F_18Plus",22000,281248.232427308
"PS0260","Gaza","2023-10-14","F_20Plus",20700,262357.139897076
"PS0260","Gaza","2023-10-14","M_18Plus",30100,284031.712652475
