"ADM2_PCODE","ADM2_EN","collection_date","agesex","mau_lower","pop_mau_lower"
"PS0265","Deir Al-Balah","2023-10-13","F_18Plus",3600,84876.6361641718
"PS0265","Deir Al-Balah","2023-10-13","F_20Plus",3400,78466.5406176216
"PS0265","Deir Al-Balah","2023-10-13","M_18Plus",4900,84677.2940703442
"PS0265","Deir Al-Balah","2023-10-13","M_20Plus",4500,78083.0071861225
"PS0265","Deir Al-Balah","2023-10-13","T_18Plus",8600,169553.930234516
"PS0265","Deir Al-Balah","2023-10-13","T_20Plus",7900,156549.547803744
"PS0260","Gaza","2023-10-13","F_18Plus",22000,196778.442832822
"PS0260","Gaza","2023-10-13","F_20Plus",20700,181917.243366575
"PS0260","Gaza","2023-10-13","M_18Plus",30100,201090.006601582
"PS0260","Gaza","2023-10-13","M_20Plus",27800,185430.021151654
"PS0260","Gaza","2023-10-13","T_18Plus",52000,397868.449434403
"PS0260","Gaza","2023-10-13","T_20Plus",48300,367347.264518229
"PS0270","Khan Younis","2023-10-13","F_18Plus",9100,115573.000691403
"PS0270","Khan Younis","2023-10-13","F_20Plus",8500,106844.639030127
"PS0270","Khan Younis","2023-10-13","M_18Plus",12200,117362.019971201
"PS0270","Khan Younis","2023-10-13","M_20Plus",11100,108222.393610928
"PS0270","Khan Younis","2023-10-13","T_18Plus",21500,232935.020662603
"PS0270","Khan Younis","2023-10-13","T_20Plus",19900,215067.032641055
"PS0255","North Gaza","2023-10-13","F_18Plus",5400,116703.066115806
"PS0255","North Gaza","2023-10-13","F_20Plus",5000,107889.359091287
"PS0255","North Gaza","2023-10-13","M_18Plus",7700,119336.369091462
"PS0255","North Gaza","2023-10-13","M_20Plus",7000,110042.989299983
"PS0255","North Gaza","2023-10-13","T_18Plus",13200,236039.435207268
"PS0255","North Gaza","2023-10-13","T_20Plus",12100,217932.34839127
"PS0275","Rafah","2023-10-13","F_18Plus",6000,73017.7160681253
"PS0275","Rafah","2023-10-13","F_20Plus",5600,67503.235785445
"PS0275","Rafah","2023-10-13","M_18Plus",8300,73193.7496880422
"PS0275","Rafah","2023-10-13","M_20Plus",7600,67493.7496009599
"PS0275","Rafah","2023-10-13","T_18Plus",14300,146211.465756168
"PS0275","Rafah","2023-10-13","T_20Plus",13000,134996.985386405
"PS0265","Deir Al-Balah","2023-10-14","F_18Plus",3600,85383.4934506865
"PS0265","Deir Al-Balah","2023-10-14","F_20Plus",3300,77151.079019026
"PS0265","Deir Al-Balah","2023-10-14","M_18Plus",4900,84825.6979027014
"PS0265","Deir Al-Balah","2023-10-14","M_20Plus",4400,76738.6047844992
"PS0265","Deir Al-Balah","2023-10-14","T_18Plus",8400,166850.287951178
"PS0265","Deir Al-Balah","2023-10-14","T_20Plus",7800,155535.021004182
"PS0260","Gaza","2023-10-14","F_18Plus",22000,197953.543450451
"PS0260","Gaza","2023-10-14","F_20Plus",20700,184287.696599615
"PS0260","Gaza","2023-10-14","M_18Plus",30100,201442.433163579
"PS0260","Gaza","2023-10-14","M_20Plus",27800,186379.118415984
"PS0260","Gaza","2023-10-14","T_18Plus",51900,400075.337412239
"PS0260","Gaza","2023-10-14","T_20Plus",48200,368880.400697328
"PS0270","Khan Younis","2023-10-14","F_18Plus",8900,113707.93282382
"PS0270","Khan Younis","2023-10-14","F_20Plus",8300,105690.11689626
"PS0270","Khan Younis","2023-10-14","M_18Plus",12000,115640.366989375
"PS0270","Khan Younis","2023-10-14","M_20Plus",10900,106816.380987693
"PS0270","Khan Younis","2023-10-14","T_18Plus",21100,230312.254967166
"PS0270","Khan Younis","2023-10-14","T_20Plus",19500,212062.677877562
"PS0255","North Gaza","2023-10-14","F_18Plus",5300,115225.907374406
"PS0255","North Gaza","2023-10-14","F_20Plus",4900,107109.295877948
"PS0255","North Gaza","2023-10-14","M_18Plus",7700,119545.51576658
"PS0255","North Gaza","2023-10-14","M_20Plus",7000,110606.228733678
"PS0255","North Gaza","2023-10-14","T_18Plus",13100,236004.452115125
"PS0255","North Gaza","2023-10-14","T_20Plus",12000,217483.562198635
"PS0275","Rafah","2023-10-14","F_18Plus",6100,74677.9847729627
"PS0275","Rafah","2023-10-14","F_20Plus",5600,68382.8294982071
"PS0275","Rafah","2023-10-14","M_18Plus",8400,74205.4256003958
"PS0275","Rafah","2023-10-14","M_20Plus",7700,68731.8279277938
"PS0275","Rafah","2023-10-14","T_18Plus",14500,149365.96884925
"PS0275","Rafah","2023-10-14","T_20Plus",13200,137931.516962998
"PS0265","Deir Al-Balah","2023-10-15","F_18Plus",3500,83219.4861096015
"PS0265","Deir Al-Balah","2023-10-15","F_20Plus",3300,77164.8381289458
"PS0265","Deir Al-Balah","2023-10-15","M_18Plus",4800,82951.6362107495
"PS0265","Deir Al-Balah","2023-10-15","M_20Plus",4400,76130.7784200315
"PS0265","Deir Al-Balah","2023-10-15","T_18Plus",8400,166211.115021416
"PS0265","Deir Al-Balah","2023-10-15","T_20Plus",7700,152968.807186621
"PS0260","Gaza","2023-10-15","F_18Plus",22300,201155.091023365
"PS0260","Gaza","2023-10-15","F_20Plus",20900,186101.437434523
"PS0260","Gaza","2023-10-15","M_18Plus",30700,205104.503542446
"PS0260","Gaza","2023-10-15","M_20Plus",28500,189558.685662459
"PS0260","Gaza","2023-10-15","T_18Plus",53000,406989.677555797
"PS0260","Gaza","2023-10-15","T_20Plus",49100,374367.89748055
"PS0270","Khan Younis","2023-10-15","F_18Plus",9100,116554.143173451
"PS0270","Khan Younis","2023-10-15","F_20Plus",8400,106982.567649018
"PS0270","Khan Younis","2023-10-15","M_18Plus",12100,116403.474466752
"PS0270","Khan Younis","2023-10-15","M_20Plus",11100,107914.72592162
"PS0270","Khan Younis","2023-10-15","T_18Plus",21400,232692.008351674
"PS0270","Khan Younis","2023-10-15","T_20Plus",19900,215606.213162055
"PS0255","North Gaza","2023-10-15","F_18Plus",5100,111155.257582733
"PS0255","North Gaza","2023-10-15","F_20Plus",4700,102755.810068525
"PS0255","North Gaza","2023-10-15","M_18Plus",7500,116240.156582842
"PS0255","North Gaza","2023-10-15","M_20Plus",6800,106594.998778501
"PS0255","North Gaza","2023-10-15","T_18Plus",12700,227921.725218664
"PS0255","North Gaza","2023-10-15","T_20Plus",11600,209450.666393158
