"country","collection_date","meta_key","geo_name","agesex","dau","mau_lower","mau_upper","pop_dau","pop_mau_lower","pop_mau_upper"
"UA",2022-02-27,3778,"Cherkasy Oblast","T_20Plus",163600,166700,196100,974343.48090257,974343.48090257,974343.48090257
"UA",2022-02-27,3779,"Chernihiv Oblast","T_20Plus",113071,113500,133600,809652.793864183,809652.793864183,809652.793864183
"UA",2022-02-27,3780,"Chernivtsi Oblast","T_20Plus",105734,108500,127600,696089.114478772,696089.114478772,696089.114478772
"UA",2022-02-27,3781,"Dnipropetrovsk Oblast","T_20Plus",340399,361500,425200,2548477.03303031,2548477.03303031,2548477.03303031
"UA",2022-02-27,3782,"Donetsk Oblast","T_20Plus",117787,138800,163300,3484835.7863978,3484835.7863978,3484835.7863978
"UA",2022-02-27,3783,"Ivano-Frankivsk Oblast","T_20Plus",189011,185400,218200,1062004.70473566,1062004.70473566,1062004.70473566
"UA",2022-02-27,3784,"Kharkiv Oblast","T_20Plus",224768,247800,291600,2161470.73144508,2161470.73144508,2161470.73144508
"UA",2022-02-27,3785,"Kherson Oblast","T_20Plus",88943,95600,112300,813559.136677314,813559.136677314,813559.136677314
"UA",2022-02-27,3787,"Kirovohrad Oblast","T_20Plus",121219,123200,145000,746822.132967661,746822.132967661,746822.132967661
"UA",2022-02-27,3791,"Luhansk Oblast","T_20Plus",43180,51100,60300,1837206.48345651,1837206.48345651,1837206.48345651
"UA",2022-02-27,3792,"Lviv Oblast","T_20Plus",397646,395200,464900,1959912.82327446,1959912.82327446,1959912.82327446
"UA",2022-02-27,3793,"Mykolaiv Oblast","T_20Plus",109154,115900,136300,893844.10985707,893844.10985707,893844.10985707
"UA",2022-02-27,3794,"Odessa Oblast","T_20Plus",253138,269600,317200,1844473.19505159,1844473.19505159,1844473.19505159
"UA",2022-02-27,3795,"Poltava Oblast","T_20Plus",172020,175900,207000,1126773.42200298,1126773.42200298,1126773.42200298
"UA",2022-02-27,3796,"Rivne Oblast","T_20Plus",147065,149800,176200,850185.883940072,850185.883940072,850185.883940072
"UA",2022-02-27,3798,"Sumy Oblast","T_20Plus",102358,103100,121300,880411.957561728,880411.957561728,880411.957561728
"UA",2022-02-27,3799,"Ternopil Oblast","T_20Plus",146084,147000,172900,821361.879612814,821361.879612814,821361.879612814
"UA",2022-02-27,3800,"Vinnytsia Oblast","T_20Plus",217745,219500,258200,1227807.22161575,1227807.22161575,1227807.22161575
"UA",2022-02-27,3801,"Volyn Oblast","T_20Plus",118128,119300,140400,769339.342451079,769339.342451079,769339.342451079
"UA",2022-02-27,3802,"Zakarpattia Oblast","T_20Plus",175953,171200,201500,932364.266978068,932364.266978068,932364.266978068
"UA",2022-02-27,3804,"Zhytomyr Oblast","T_20Plus",188448,189000,222300,951144.094269058,951144.094269058,951144.094269058
"UA",2022-02-27,4290,"Kyiv","T_20Plus",565344,588300,692100,2288945.8453108,2288945.8453108,2288945.8453108
"UA",2022-02-28,3778,"Cherkasy Oblast","T_20Plus",161461,166900,196300,963328.75338107,981475.239311994,981242.741201708
"UA",2022-02-28,3779,"Chernihiv Oblast","T_20Plus",112746,114100,134300,808773.344959855,818908.028296638,818823.01439506
